run_id,image_name,corruption_mode,corruption_ratio,mode,psnr,ssim,rse,runtime_s,output_ok,notes
2026-04-12_run_030,lena,random_pixel,0.5,direct_answer,15.1519,0.3766,0.3245,15.1086,1,source=skimage:astronaut
2026-04-12_run_030,lena,text,0.5,direct_answer,27.2597,0.9483,0.0805,14.8518,1,source=skimage:astronaut
2026-04-12_run_030,barbara,random_pixel,0.5,direct_answer,24.2780,0.7244,0.1358,15.2924,1,source=skimage:brick
2026-04-12_run_030,barbara,text,0.5,direct_answer,34.9722,0.9762,0.0397,15.2418,1,source=skimage:brick
2026-04-12_run_031,lena,random_pixel,0.5,plain_guidance,15.1519,0.3766,0.3245,17.8399,1,source=skimage:astronaut
2026-04-12_run_031,lena,text,0.5,plain_guidance,27.2597,0.9483,0.0805,17.9669,1,source=skimage:astronaut
2026-04-12_run_031,barbara,random_pixel,0.5,plain_guidance,24.2780,0.7244,0.1358,19.2263,1,source=skimage:brick
2026-04-12_run_031,barbara,text,0.5,plain_guidance,34.9722,0.9762,0.0397,18.6234,1,source=skimage:brick
2026-04-12_run_032,lena,random_pixel,0.5,coe_guided,15.1519,0.3766,0.3245,15.9925,1,source=skimage:astronaut
2026-04-12_run_032,lena,text,0.5,coe_guided,27.2597,0.9483,0.0805,15.3738,1,source=skimage:astronaut
2026-04-12_run_032,barbara,random_pixel,0.5,coe_guided,24.2780,0.7244,0.1358,16.0406,1,source=skimage:brick
2026-04-12_run_032,barbara,text,0.5,coe_guided,34.9722,0.9762,0.0397,16.1476,1,source=skimage:brick
2026-04-12_run_033,lena,random_pixel,0.5,direct_answer,15.1519,0.3766,0.3245,18.1470,1,source=skimage:astronaut
2026-04-12_run_033,lena,text,0.5,direct_answer,27.2597,0.9483,0.0805,17.5496,1,source=skimage:astronaut
2026-04-12_run_033,barbara,random_pixel,0.5,direct_answer,24.2780,0.7244,0.1358,18.4302,1,source=skimage:brick
2026-04-12_run_033,barbara,text,0.5,direct_answer,34.9722,0.9762,0.0397,18.4537,1,source=skimage:brick
2026-04-12_run_034,lena,random_pixel,0.5,plain_guidance,15.1519,0.3766,0.3245,18.0365,1,source=skimage:astronaut
2026-04-12_run_034,lena,text,0.5,plain_guidance,27.2597,0.9483,0.0805,17.8656,1,source=skimage:astronaut
2026-04-12_run_034,barbara,random_pixel,0.5,plain_guidance,24.2780,0.7244,0.1358,16.3190,1,source=skimage:brick
2026-04-12_run_034,barbara,text,0.5,plain_guidance,34.9722,0.9762,0.0397,16.3819,1,source=skimage:brick
2026-04-12_run_035,lena,random_pixel,0.5,coe_guided,15.1519,0.3766,0.3245,16.0498,1,source=skimage:astronaut
2026-04-12_run_035,lena,text,0.5,coe_guided,27.2597,0.9483,0.0805,15.9106,1,source=skimage:astronaut
2026-04-12_run_035,barbara,random_pixel,0.5,coe_guided,24.2780,0.7244,0.1358,16.3888,1,source=skimage:brick
2026-04-12_run_035,barbara,text,0.5,coe_guided,34.9722,0.9762,0.0397,16.8691,1,source=skimage:brick
2026-04-12_run_036,lena,random_pixel,0.5,direct_answer,15.1519,0.3766,0.3245,16.1000,1,source=skimage:astronaut
2026-04-12_run_036,lena,text,0.5,direct_answer,27.2597,0.9483,0.0805,16.0810,1,source=skimage:astronaut
2026-04-12_run_036,barbara,random_pixel,0.5,direct_answer,24.2780,0.7244,0.1358,16.6542,1,source=skimage:brick
2026-04-12_run_036,barbara,text,0.5,direct_answer,34.9722,0.9762,0.0397,16.3578,1,source=skimage:brick
2026-04-12_run_037,lena,random_pixel,0.5,plain_guidance,15.1519,0.3766,0.3245,16.4528,1,source=skimage:astronaut
2026-04-12_run_037,lena,text,0.5,plain_guidance,27.2597,0.9483,0.0805,18.7411,1,source=skimage:astronaut
2026-04-12_run_037,barbara,random_pixel,0.5,plain_guidance,24.2780,0.7244,0.1358,15.9851,1,source=skimage:brick
2026-04-12_run_037,barbara,text,0.5,plain_guidance,34.9722,0.9762,0.0397,18.1810,1,source=skimage:brick
2026-04-12_run_038,lena,random_pixel,0.5,coe_guided,15.1519,0.3766,0.3245,18.0503,1,source=skimage:astronaut
2026-04-12_run_038,lena,text,0.5,coe_guided,27.2597,0.9483,0.0805,17.0137,1,source=skimage:astronaut
2026-04-12_run_038,barbara,random_pixel,0.5,coe_guided,24.2780,0.7244,0.1358,18.7799,1,source=skimage:brick
2026-04-12_run_038,barbara,text,0.5,coe_guided,34.9722,0.9762,0.0397,18.5263,1,source=skimage:brick
2026-04-12_run_039,lena,random_pixel,0.5,direct_answer,15.1519,0.3766,0.3245,18.2359,1,source=skimage:astronaut
2026-04-12_run_039,lena,text,0.5,direct_answer,27.2597,0.9483,0.0805,17.6955,1,source=skimage:astronaut
2026-04-12_run_039,barbara,random_pixel,0.5,direct_answer,24.2780,0.7244,0.1358,18.3138,1,source=skimage:brick
2026-04-12_run_039,barbara,text,0.5,direct_answer,34.9722,0.9762,0.0397,18.8301,1,source=skimage:brick
2026-04-12_run_040,lena,random_pixel,0.5,plain_guidance,15.1519,0.3766,0.3245,17.1343,1,source=skimage:astronaut
2026-04-12_run_040,lena,text,0.5,plain_guidance,27.2597,0.9483,0.0805,18.7019,1,source=skimage:astronaut
2026-04-12_run_040,barbara,random_pixel,0.5,plain_guidance,24.2780,0.7244,0.1358,19.3191,1,source=skimage:brick
2026-04-12_run_040,barbara,text,0.5,plain_guidance,34.9722,0.9762,0.0397,18.7215,1,source=skimage:brick
2026-04-12_run_041,lena,random_pixel,0.5,coe_guided,15.1519,0.3766,0.3245,20.5868,1,source=skimage:astronaut
2026-04-12_run_041,lena,text,0.5,coe_guided,27.2597,0.9483,0.0805,21.0104,1,source=skimage:astronaut
2026-04-12_run_041,barbara,random_pixel,0.5,coe_guided,24.2780,0.7244,0.1358,19.5709,1,source=skimage:brick
2026-04-12_run_041,barbara,text,0.5,coe_guided,34.9722,0.9762,0.0397,19.6347,1,source=skimage:brick
2026-04-12_run_055,lena,random_pixel,0.5,direct_answer,15.1519,0.3766,0.3245,17.3605,1,source=skimage:astronaut
2026-04-12_run_055,lena,text,0.5,direct_answer,27.2597,0.9483,0.0805,17.2790,1,source=skimage:astronaut
2026-04-12_run_055,barbara,random_pixel,0.5,direct_answer,24.2780,0.7244,0.1358,17.8962,1,source=skimage:brick
2026-04-12_run_055,barbara,text,0.5,direct_answer,34.9722,0.9762,0.0397,17.8301,1,source=skimage:brick
2026-04-12_run_056,lena,random_pixel,0.5,plain_guidance,15.1519,0.3766,0.3245,17.5808,1,source=skimage:astronaut
2026-04-12_run_056,lena,text,0.5,plain_guidance,27.2597,0.9483,0.0805,17.3101,1,source=skimage:astronaut
2026-04-12_run_056,barbara,random_pixel,0.5,plain_guidance,24.2780,0.7244,0.1358,17.9366,1,source=skimage:brick
2026-04-12_run_056,barbara,text,0.5,plain_guidance,34.9722,0.9762,0.0397,26.2246,1,source=skimage:brick
2026-04-12_run_057,lena,random_pixel,0.5,coe_guided,15.1519,0.3766,0.3245,18.9452,1,source=skimage:astronaut
2026-04-12_run_057,lena,text,0.5,coe_guided,27.2597,0.9483,0.0805,15.8359,1,source=skimage:astronaut
2026-04-12_run_057,barbara,random_pixel,0.5,coe_guided,24.2780,0.7244,0.1358,16.5926,1,source=skimage:brick
2026-04-12_run_057,barbara,text,0.5,coe_guided,34.9722,0.9762,0.0397,16.3999,1,source=skimage:brick
